method,acc,avg_scales,fixed_ref_acc,gain
r3_d0.25_e1.0,0.19885185185185186,3.601962962962963,0.18153936076817556,0.0173124910836763
r3_d0.25_e0.03,0.21662962962962962,3.8035185185185183,0.18824294924554183,0.028386680384087787
r3_d0.25_e0.01,0.2477777777777778,4.286,0.20382385185185184,0.04395392592592595
r3_d0.35_e1.0,0.21359259259259258,3.8075925925925924,0.1883784499314129,0.02521414266117969
r3_d0.35_e0.03,0.22744444444444445,3.9765185185185183,0.19399680109739367,0.033447643347050776
r3_d0.35_e0.01,0.25596296296296295,4.442111111111111,0.20876158847736626,0.04720137448559669
r3_d0.45_e1.0,0.22992592592592592,4.1285185185185185,0.1988427709190672,0.03108315500685871
r3_d0.45_e0.03,0.23929629629629628,4.257777777777778,0.20293119341563787,0.03636510288065842
r3_d0.45_e0.01,0.2647777777777778,4.6867777777777775,0.21650030452674895,0.048277473251028824
r3_d0.55_e1.0,0.24896296296296297,4.600592592592593,0.2137742990397805,0.035188663923182456
r3_d0.55_e0.03,0.25437037037037036,4.686740740740741,0.21649913305898494,0.03787123731138542
r3_d0.55_e0.01,0.276037037037037,5.061592592592593,0.22853121124828535,0.04750582578875168
r3_d0.65_e1.0,0.2742222222222222,5.286666666666667,0.2362920987654321,0.03793012345679009
r3_d0.65_e0.03,0.277,5.340925925925926,0.23816303840877914,0.03883696159122088
r3_d0.65_e0.01,0.2925185185185185,5.6262592592592595,0.2480017544581619,0.04451676406035662
r4_d0.25_e1.0,0.2462962962962963,4.961185185185185,0.22517970919067215,0.02111658710562414
r4_d0.25_e0.03,0.257,5.080185185185186,0.22917231138545957,0.027827688614540436
r4_d0.25_e0.01,0.2811111111111111,5.400074074074074,0.24020255418381345,0.04090855692729764
r4_d0.35_e1.0,0.2597037037037037,5.167740740740741,0.23219135665294927,0.02751234705075445
r4_d0.35_e0.03,0.26785185185185184,5.257444444444444,0.2352844732510288,0.03256737860082304
r4_d0.35_e0.01,0.2891111111111111,5.551407407407408,0.24542075171467764,0.043690359396433454
r4_d0.45_e1.0,0.275,5.469481481481481,0.2425958244170096,0.03240417558299041
r4_d0.45_e0.03,0.2806296296296296,5.5344444444444445,0.24483584362139918,0.03579378600823044
r4_d0.45_e0.01,0.29803703703703704,5.785777777777778,0.2535021893004115,0.04453484773662553
r4_d0.55_e1.0,0.29262962962962963,5.882,0.2568200740740741,0.03580955555555554
r4_d0.55_e0.03,0.29518518518518516,5.918185185185185,0.258067792866941,0.03711739231824418
r4_d0.55_e0.01,0.30796296296296294,6.116185185185185,0.264327109739369,0.04363585322359392
r4_d0.65_e1.0,0.3118888888888889,6.438962962962963,0.2738789410150892,0.03800994787379969
r4_d0.65_e0.03,0.31303703703703706,6.456333333333333,0.274392975308642,0.038644061728395074
r4_d0.65_e0.01,0.3207777777777778,6.589444444444444,0.27833207818930045,0.042445699588477326
