method,acc,avg_scales,fixed_ref_acc,gain
r3_d0.25_e1.0,0.41044444444444445,8.183296296296296,0.39832536625514403,0.012119078189300414
r3_d0.25_e0.03,0.4111111111111111,8.223148148148148,0.3989275720164609,0.012183539094650198
r3_d0.25_e0.01,0.413962962962963,8.394518518518518,0.40151716872427984,0.012445794238683139
r3_d0.35_e1.0,0.4185185185185185,8.909333333333333,0.4092965925925926,0.009221925925925911
r3_d0.35_e0.03,0.41888888888888887,8.941296296296295,0.40977958847736623,0.009109300411522636
r3_d0.35_e0.01,0.42003703703703704,9.056666666666667,0.4114096296296296,0.008627407407407417
r3_d0.45_e1.0,0.42218518518518516,9.323296296296297,0.4149054403292181,0.007279744855967052
r3_d0.45_e0.03,0.4222962962962963,9.343666666666667,0.41517251851851855,0.007123777777777729
r3_d0.45_e0.01,0.42244444444444446,9.40862962962963,0.4160242551440329,0.0064201893004115496
r3_d0.55_e1.0,0.4235925925925926,9.60162962962963,0.41855469958847735,0.005037893004115224
r3_d0.55_e0.03,0.4235185185185185,9.614,0.4187168888888889,0.0048016296296296
r3_d0.55_e0.01,0.4235925925925926,9.65011111111111,0.4191903456790123,0.0044022469135802655
r3_d0.65_e1.0,0.4238148148148148,9.78411111111111,0.42094723456790123,0.0028675802469135814
r3_d0.65_e0.03,0.42377777777777775,9.790962962962963,0.4210370699588477,0.0027407078189300438
r3_d0.65_e0.01,0.42377777777777775,9.808259259259259,0.4212638436213992,0.002513934156378572
r4_d0.25_e1.0,0.4156296296296296,8.543111111111111,0.40376256790123455,0.011867061728395079
r4_d0.25_e0.03,0.41574074074074074,8.553888888888888,0.4039254320987654,0.01181530864197533
r4_d0.25_e0.01,0.4170740740740741,8.63862962962963,0.40520595884773664,0.011868115226337461
r4_d0.35_e1.0,0.4204074074074074,9.097074074074074,0.4119394156378601,0.008467991769547323
r4_d0.35_e0.03,0.42048148148148146,9.106333333333334,0.4120608148148148,0.008420666666666632
r4_d0.35_e0.01,0.42118518518518516,9.16625925925926,0.41284651028806585,0.008338674897119314
r4_d0.45_e1.0,0.42303703703703704,9.414444444444445,0.4161004938271605,0.006936543209876522
r4_d0.45_e0.03,0.42303703703703704,9.421333333333333,0.4161908148148148,0.0068462222222222535
r4_d0.45_e0.01,0.42307407407407405,9.45874074074074,0.4166812674897119,0.006392806584362143
r4_d0.55_e1.0,0.42377777777777775,9.649666666666667,0.4191845185185185,0.004593259259259241
r4_d0.55_e0.03,0.42377777777777775,9.653703703703703,0.41923744855967077,0.0045403292181069865
r4_d0.55_e0.01,0.4238148148148148,9.675703703703704,0.4195258930041152,0.00428892181069962
r4_d0.65_e1.0,0.4238148148148148,9.808666666666667,0.4212691851851852,0.00254562962962962
r4_d0.65_e0.03,0.4238148148148148,9.810629629629629,0.42129492181069955,0.002519893004115259
r4_d0.65_e0.01,0.4238148148148148,9.821518518518518,0.42143768724279834,0.0023771275720164686
