method,kind,params,acc,avg_scales
fixed-1,fixed,"{""k"": 1}",0.11796296296296296,1.0
fixed-2,fixed,"{""k"": 2}",0.13348148148148148,2.0
fixed-3,fixed,"{""k"": 3}",0.1615185185185185,3.0
fixed-4,fixed,"{""k"": 4}",0.19477777777777777,4.0
fixed-5,fixed,"{""k"": 5}",0.22640740740740742,5.0
fixed-6,fixed,"{""k"": 6}",0.2608888888888889,6.0
fixed-7,fixed,"{""k"": 7}",0.2904814814814815,7.0
fixed-8,fixed,"{""k"": 8}",0.31937037037037036,8.0
fixed-9,fixed,"{""k"": 9}",0.3429259259259259,9.0
fixed-10,fixed,"{""k"": 10}",0.36333333333333334,10.0
stab_r2_d0.0_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 1}",0.13418518518518519,2.0822592592592595
stab_r2_d0.0_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 2}",0.13418518518518519,2.0822592592592595
stab_r2_d0.0_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 1}",0.1385185185185185,2.1132962962962965
stab_r2_d0.0_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 2}",0.1385185185185185,2.1132962962962965
stab_r2_d0.0_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 1}",0.14685185185185184,2.2093333333333334
stab_r2_d0.0_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 2}",0.14685185185185184,2.2093333333333334
stab_r2_d0.0_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 1}",0.16944444444444445,2.5328518518518517
stab_r2_d0.0_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 2}",0.16944444444444445,2.5328518518518517
stab_r2_d0.2_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 1}",0.14544444444444443,2.2117407407407406
stab_r2_d0.2_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 2}",0.14544444444444443,2.2117407407407406
stab_r2_d0.2_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 1}",0.14759259259259258,2.231259259259259
stab_r2_d0.2_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 2}",0.14759259259259258,2.231259259259259
stab_r2_d0.2_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 1}",0.156,2.331814814814815
stab_r2_d0.2_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 2}",0.156,2.331814814814815
stab_r2_d0.2_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 1}",0.17959259259259258,2.6914814814814814
stab_r2_d0.2_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 2}",0.17959259259259258,2.6914814814814814
stab_r2_d0.35_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 1}",0.1592962962962963,2.4005185185185187
stab_r2_d0.35_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 2}",0.1592962962962963,2.4005185185185187
stab_r2_d0.35_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 1}",0.15992592592592592,2.4117777777777776
stab_r2_d0.35_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 2}",0.15992592592592592,2.4117777777777776
stab_r2_d0.35_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 1}",0.16685185185185186,2.506666666666667
stab_r2_d0.35_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 2}",0.16685185185185186,2.506666666666667
stab_r2_d0.35_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.02, ""min_scale"": 1}",0.1902222222222222,2.884148148148148
stab_r2_d0.35_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.02, ""min_scale"": 2}",0.1902222222222222,2.884148148148148
stab_r2_d0.5_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 1.0, ""min_scale"": 1}",0.1827037037037037,2.904
stab_r2_d0.5_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 1.0, ""min_scale"": 2}",0.1827037037037037,2.904
stab_r2_d0.5_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.1, ""min_scale"": 1}",0.18292592592592594,2.911888888888889
stab_r2_d0.5_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.1, ""min_scale"": 2}",0.18292592592592594,2.911888888888889
