method,kind,params,acc,avg_scales
fixed-1,fixed,"{""k"": 1}",0.16240740740740742,1.0
fixed-2,fixed,"{""k"": 2}",0.21333333333333335,2.0
fixed-3,fixed,"{""k"": 3}",0.2611111111111111,3.0
fixed-4,fixed,"{""k"": 4}",0.29988888888888887,4.0
fixed-5,fixed,"{""k"": 5}",0.3291851851851852,5.0
fixed-6,fixed,"{""k"": 6}",0.3560740740740741,6.0
fixed-7,fixed,"{""k"": 7}",0.3785925925925926,7.0
fixed-8,fixed,"{""k"": 8}",0.39555555555555555,8.0
fixed-9,fixed,"{""k"": 9}",0.4106666666666667,9.0
fixed-10,fixed,"{""k"": 10}",0.42377777777777775,10.0
stab_r2_d0.0_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 1}",0.25262962962962965,2.7326296296296295
stab_r2_d0.0_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 2}",0.25262962962962965,2.7326296296296295
stab_r2_d0.0_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 1}",0.25262962962962965,2.738962962962963
stab_r2_d0.0_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 2}",0.25262962962962965,2.738962962962963
stab_r2_d0.0_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 1}",0.25637037037037036,2.7824814814814816
stab_r2_d0.0_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 2}",0.25637037037037036,2.7824814814814816
stab_r2_d0.0_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 1}",0.2739259259259259,3.051111111111111
stab_r2_d0.0_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 2}",0.2739259259259259,3.051111111111111
stab_r2_d0.2_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 1}",0.39185185185185184,7.25425925925926
stab_r2_d0.2_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 2}",0.39185185185185184,7.25425925925926
stab_r2_d0.2_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 1}",0.392,7.2603333333333335
stab_r2_d0.2_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 2}",0.392,7.2603333333333335
stab_r2_d0.2_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 1}",0.393037037037037,7.300962962962963
stab_r2_d0.2_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 2}",0.393037037037037,7.300962962962963
