method,acc,avg_scales,fixed_ref_acc,gain
r3_d0.25_e1.0,0.6419587251190622,5.541213823421663,0.634271562209452,0.007687162909610135
r3_d0.25_e0.03,0.6441567957015508,5.704359506655269,0.6357458301981304,0.008410965503420464
r3_d0.25_e0.01,0.6474539015752839,6.153254365612407,0.6396151275368414,0.007838774038442575
r3_d0.35_e1.0,0.6452558309927953,6.048235437782391,0.6387943665915341,0.006461464401261163
r3_d0.35_e0.03,0.6464769813164001,6.184882158993772,0.6398623101936257,0.006614671122774363
r3_d0.35_e0.01,0.6487971669312492,6.55305898156063,0.6427397453681623,0.006057421563086973
r3_d0.45_e1.0,0.6481865917694468,6.507998534619611,0.6423875816602339,0.00579901010921291
r3_d0.45_e0.03,0.6486750518988887,6.62388570032971,0.6432932818196485,0.005381770079240233
r3_d0.45_e0.01,0.6492856270606912,6.9139089021858595,0.6455599181511656,0.0037257089095255047
r3_d0.55_e1.0,0.6494077420930516,6.966540481133228,0.6459712529970114,0.0034364890960402183
r3_d0.55_e0.03,0.6497740871901331,7.053852729270973,0.6464037331738973,0.003370354016235755
r3_d0.55_e0.01,0.6506288924166564,7.2877030162412995,0.6471462056932805,0.0034826867233759273
r3_d0.65_e1.0,0.6506288924166564,7.428745878617658,0.6475940154895664,0.0030348769270900355
r3_d0.65_e0.03,0.6511173525460984,7.498351447063134,0.6478150125318893,0.0033023400142090376
r3_d0.65_e0.01,0.6513615826108194,7.672975943338625,0.6483694437082432,0.0029921389025762135
r4_d0.25_e1.0,0.646721211381121,6.366467212113811,0.6412814631304535,0.005439748250667509
r4_d0.25_e0.03,0.646965441445842,6.391989253877152,0.641480927127627,0.00548451431821495
r4_d0.25_e0.01,0.6483087068018073,6.588838686042251,0.643019376713482,0.005289330088325328
r4_d0.35_e1.0,0.6489192819636097,6.734155574551227,0.6441550808122211,0.004764201151388647
r4_d0.35_e0.03,0.6489192819636097,6.757113200634998,0.6443345029723581,0.004584778991251648
r4_d0.35_e0.01,0.650018317254854,6.915130052509464,0.6455694618830878,0.004448855371766203
r4_d0.45_e1.0,0.6498962022224936,7.084503602393455,0.6465010494153414,0.003395152807152191
r4_d0.45_e0.03,0.650018317254854,7.105507387959458,0.6465677362421476,0.003450581012706455
r4_d0.45_e0.01,0.650506777384296,7.226034924899255,0.6469504100680645,0.0035563673162314346
r4_d0.55_e1.0,0.6508731224813774,7.453413115154476,0.6476723337396527,0.0032007887417246916
r4_d0.55_e0.03,0.6508731224813774,7.469043839296617,0.6477219611456481,0.0031511613357293466
r4_d0.55_e0.01,0.6509952375137379,7.565270484796678,0.6480274798638068,0.0029677576499310687
r4_d0.65_e1.0,0.6514836976431799,7.831847600439614,0.6488738597644926,0.0026098378786872933
r4_d0.65_e0.03,0.6514836976431799,7.842715838319697,0.6489083663202238,0.002575331322956176
r4_d0.65_e0.01,0.6514836976431799,7.911344486506289,0.6491262616496719,0.002357435993508017
