method,kind,params,acc,avg_scales
fixed-1,fixed,"{""k"": 1}",0.21455611185736964,1.0
fixed-2,fixed,"{""k"": 2}",0.327024056661375,2.0
fixed-3,fixed,"{""k"": 3}",0.37953352057638295,3.0
fixed-4,fixed,"{""k"": 4}",0.40468921724264256,4.0
fixed-5,fixed,"{""k"": 5}",0.4192209060935401,5.0
fixed-6,fixed,"{""k"": 6}",0.42398339235559895,6.0
fixed-7,fixed,"{""k"": 7}",0.43008914397362313,7.0
fixed-8,fixed,"{""k"": 8}",0.4311881792648675,8.0
fixed-9,fixed,"{""k"": 9}",0.4308218341677861,9.0
fixed-10,fixed,"{""k"": 10}",0.4294785688118207,10.0
stab_r2_d0.0_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 1}",0.36707778727561363,2.8359995115398706
stab_r2_d0.0_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 2}",0.36707778727561363,2.8359995115398706
stab_r2_d0.0_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 1}",0.37721333496153375,3.0183172548540727
stab_r2_d0.0_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 2}",0.37721333496153375,3.0183172548540727
stab_r2_d0.0_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 1}",0.390645988521187,3.3407009402857493
stab_r2_d0.0_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 2}",0.390645988521187,3.3407009402857493
stab_r2_d0.0_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 1}",0.4081084381487361,4.005983636585664
stab_r2_d0.0_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 2}",0.4081084381487361,4.005983636585664
stab_r2_d0.2_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 1}",0.41812187080229574,5.4970081817071685
stab_r2_d0.2_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 2}",0.41812187080229574,5.4970081817071685
stab_r2_d0.2_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 1}",0.42044205641714494,5.63365490291855
stab_r2_d0.2_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 2}",0.42044205641714494,5.63365490291855
stab_r2_d0.2_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 1}",0.4259372328733667,5.864330199047503
stab_r2_d0.2_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 2}",0.4259372328733667,5.864330199047503
stab_r2_d0.2_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 1}",0.4302112590059836,6.311393332519233
stab_r2_d0.2_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 2}",0.4302112590059836,6.311393332519233
stab_r2_d0.35_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 1}",0.42569300280864575,6.866528269629992
stab_r2_d0.35_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 2}",0.42569300280864575,6.866528269629992
stab_r2_d0.35_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 1}",0.4266699230675296,6.953229942605935
stab_r2_d0.35_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 2}",0.4266699230675296,6.953229942605935
stab_r2_d0.35_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 1}",0.4289901086823788,7.108926608865551
stab_r2_d0.35_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 2}",0.4289901086823788,7.108926608865551
stab_r2_d0.35_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.02, ""min_scale"": 1}",0.43155452436194897,7.3925998290389545
stab_r2_d0.35_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.02, ""min_scale"": 2}",0.43155452436194897,7.3925998290389545
