method,kind,params,acc,avg_scales
fixed-1,fixed,"{""k"": 1}",0.33337403834412016,1.0
fixed-2,fixed,"{""k"": 2}",0.5148369764317987,2.0
fixed-3,fixed,"{""k"": 3}",0.5828550494565881,3.0
fixed-4,fixed,"{""k"": 4}",0.6102088167053364,4.0
fixed-5,fixed,"{""k"": 5}",0.6293808767859324,5.0
fixed-6,fixed,"{""k"": 6}",0.6384173891806081,6.0
fixed-7,fixed,"{""k"": 7}",0.6462327512516791,7.0
fixed-8,fixed,"{""k"": 8}",0.6494077420930516,8.0
fixed-9,fixed,"{""k"": 9}",0.6508731224813774,9.0
fixed-10,fixed,"{""k"": 10}",0.651239467578459,10.0
stab_r2_d0.0_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 1}",0.5619733789229454,2.703260471364025
stab_r2_d0.0_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 2}",0.5619733789229454,2.703260471364025
stab_r2_d0.0_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 1}",0.576016607644401,2.921480034192209
stab_r2_d0.0_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 2}",0.576016607644401,2.921480034192209
stab_r2_d0.0_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 1}",0.5949444376602759,3.27024056661375
stab_r2_d0.0_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 2}",0.5949444376602759,3.27024056661375
stab_r2_d0.0_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 1}",0.6175357186469654,3.9391867138844794
stab_r2_d0.0_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 2}",0.6175357186469654,3.9391867138844794
stab_r2_d0.2_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 1}",0.6163145683233606,4.261692514348517
stab_r2_d0.2_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 2}",0.6163145683233606,4.261692514348517
stab_r2_d0.2_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 1}",0.6219318598119429,4.434973745268042
stab_r2_d0.2_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 2}",0.6219318598119429,4.434973745268042
stab_r2_d0.2_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 1}",0.6295029918182928,4.718402735376725
stab_r2_d0.2_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 2}",0.6295029918182928,4.718402735376725
stab_r2_d0.2_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 1}",0.6395164244718525,5.2486262058859445
stab_r2_d0.2_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 2}",0.6395164244718525,5.2486262058859445
stab_r2_d0.35_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 1}",0.6349981682745146,5.307851996580779
stab_r2_d0.35_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 2}",0.6349981682745146,5.307851996580779
