method,kind,params,acc,avg_scales
fixed-1,fixed,"{""k"": 1}",0.26508795669824087,1.0
fixed-2,fixed,"{""k"": 2}",0.42922868741542625,2.0
fixed-3,fixed,"{""k"": 3}",0.524086603518268,3.0
fixed-4,fixed,"{""k"": 4}",0.5698240866035182,4.0
fixed-5,fixed,"{""k"": 5}",0.5903924221921516,5.0
fixed-6,fixed,"{""k"": 6}",0.6021650879566982,6.0
fixed-7,fixed,"{""k"": 7}",0.6074424898511502,7.0
fixed-8,fixed,"{""k"": 8}",0.6089309878213802,8.0
fixed-9,fixed,"{""k"": 9}",0.6113667117726658,9.0
fixed-10,fixed,"{""k"": 10}",0.6092016238159675,10.0
stab_r2_d0.0_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 1}",0.4889039242219215,2.7087956698240867
stab_r2_d0.0_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 2}",0.4889039242219215,2.7087956698240867
stab_r2_d0.0_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 1}",0.5070365358592693,2.914749661705007
stab_r2_d0.0_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 2}",0.5070365358592693,2.914749661705007
stab_r2_d0.0_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 1}",0.5294993234100135,3.2182679296346413
stab_r2_d0.0_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 2}",0.5294993234100135,3.2182679296346413
stab_r2_d0.0_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 1}",0.5606224627875508,3.8209742895805143
stab_r2_d0.0_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 2}",0.5606224627875508,3.8209742895805143
stab_r2_d0.2_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 1}",0.5583220568335588,4.064276048714479
stab_r2_d0.2_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 2}",0.5583220568335588,4.064276048714479
stab_r2_d0.2_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 1}",0.5672530446549391,4.2557510148849795
stab_r2_d0.2_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 2}",0.5672530446549391,4.2557510148849795
stab_r2_d0.2_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 1}",0.5775372124492557,4.533558863328823
stab_r2_d0.2_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 2}",0.5775372124492557,4.533558863328823
stab_r2_d0.2_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 1}",0.5935047361299053,5.106765899864682
stab_r2_d0.2_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 2}",0.5935047361299053,5.106765899864682
stab_r2_d0.35_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 1}",0.5843031123139377,5.481326116373478
stab_r2_d0.35_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 2}",0.5843031123139377,5.481326116373478
stab_r2_d0.35_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 1}",0.588362652232747,5.635994587280108
stab_r2_d0.35_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 2}",0.588362652232747,5.635994587280108
stab_r2_d0.35_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 1}",0.5921515561569689,5.849255751014885
stab_r2_d0.35_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 2}",0.5921515561569689,5.849255751014885
stab_r2_d0.35_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.02, ""min_scale"": 1}",0.6017591339648173,6.279296346414073
stab_r2_d0.35_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.02, ""min_scale"": 2}",0.6017591339648173,6.279296346414073
stab_r2_d0.5_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 1.0, ""min_scale"": 1}",0.6012178619756428,6.774560216508796
stab_r2_d0.5_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 1.0, ""min_scale"": 2}",0.6012178619756428,6.774560216508796
stab_r2_d0.5_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.1, ""min_scale"": 1}",0.6037889039242219,6.879431664411367
stab_r2_d0.5_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.1, ""min_scale"": 2}",0.6037889039242219,6.879431664411367
stab_r2_d0.5_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.05, ""min_scale"": 1}",0.6051420838971583,7.007171853856563
stab_r2_d0.5_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.05, ""min_scale"": 2}",0.6051420838971583,7.007171853856563
stab_r2_d0.5_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.02, ""min_scale"": 1}",0.6073071718538565,7.290798376184032
stab_r2_d0.5_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.02, ""min_scale"": 2}",0.6073071718538565,7.290798376184032
stab_r2_d0.65_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 1.0, ""min_scale"": 1}",0.6082543978349121,7.930311231393776
stab_r2_d0.65_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 1.0, ""min_scale"": 2}",0.6082543978349121,7.930311231393776
