policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.5391784604763549,0.5390058681394546,0.00017259233690024162,0.0,0.0005177770107007249,0.7614,False
AdaScale-v2,Single-10,0.5391784604763549,0.5022437003797031,0.03693476009665171,0.029168104936140835,0.04453313772868479,0.0,True
AdaScale-v2,AdaScale-v3,0.5391784604763549,0.5402140144977563,-0.0010355540214014498,-0.00431480842250604,0.0022437003797031413,0.5658,False
AdaScale-v2,Fixed-5,0.5391784604763549,0.5141525716258198,0.025025888850535038,0.01674145667932344,0.033310321021746636,0.0,True
AdaScale-v2,Fixed-7,0.5391784604763549,0.5405591991715568,-0.001380738695201933,-0.0075940628236106315,0.004659993096306524,0.688,False
Full-10(fused),Single-10,0.5390058681394546,0.5022437003797031,0.03676216775975147,0.029168104936140835,0.04452882292026234,0.0,True
Full-10(fused),AdaScale-v3,0.5390058681394546,0.5402140144977563,-0.0012081463583016915,-0.0044874007594062825,0.0020711080428028996,0.5012,False
Full-10(fused),Fixed-5,0.5390058681394546,0.5141525716258198,0.024853296513634795,0.016568864342423197,0.03313772868484639,0.0,True
Full-10(fused),Fixed-7,0.5390058681394546,0.5405591991715568,-0.0015533310321021747,-0.007939247497411116,0.004659993096306524,0.6512,False
Single-10,AdaScale-v3,0.5022437003797031,0.5402140144977563,-0.037970314118053156,-0.04539178460476355,-0.03054884363134277,0.0,True
Single-10,Fixed-5,0.5022437003797031,0.5141525716258198,-0.011908871246116672,-0.022091819123230928,-0.001380738695201933,0.026,True
Single-10,Fixed-7,0.5022437003797031,0.5405591991715568,-0.03831549879185364,-0.04763548498446669,-0.028995512599240592,0.0,True
AdaScale-v3,Fixed-5,0.5402140144977563,0.5141525716258198,0.026061442871936485,0.017431826026924405,0.034691059716948566,0.0,True
AdaScale-v3,Fixed-7,0.5402140144977563,0.5405591991715568,-0.00034518467380048324,-0.0069036934760096655,0.00638591646530894,0.941,False
Fixed-5,Fixed-7,0.5141525716258198,0.5405591991715568,-0.026406627545736968,-0.033310321021746636,-0.019675526406627546,0.0,True
