policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.42744444444444446,0.40474074074074073,0.022703703703703705,0.01937037037037037,0.026186111111111098,0.0,True
AdaScale-v2,Single-10,0.42744444444444446,0.42744444444444446,0.0,0.0,0.0,1.0,False
AdaScale-v2,Fixed-5,0.42744444444444446,0.3122962962962963,0.11514814814814815,0.11014814814814815,0.12033333333333333,0.0,True
AdaScale-v2,Fixed-7,0.42744444444444446,0.36062962962962963,0.06681481481481481,0.06237037037037037,0.07133333333333333,0.0,True
Full-10(fused),Single-10,0.40474074074074073,0.42744444444444446,-0.022703703703703705,-0.02618611111111111,-0.01937037037037037,0.0,True
Full-10(fused),Fixed-5,0.40474074074074073,0.3122962962962963,0.09244444444444444,0.08825925925925926,0.09670370370370371,0.0,True
Full-10(fused),Fixed-7,0.40474074074074073,0.36062962962962963,0.04411111111111111,0.04092592592592593,0.047296296296296295,0.0,True
Single-10,Fixed-5,0.42744444444444446,0.3122962962962963,0.11514814814814815,0.11014814814814815,0.12033333333333333,0.0,True
Single-10,Fixed-7,0.42744444444444446,0.36062962962962963,0.06681481481481481,0.06237037037037037,0.07133333333333333,0.0,True
Fixed-5,Fixed-7,0.3122962962962963,0.36062962962962963,-0.04833333333333333,-0.05162962962962963,-0.04511111111111111,0.0,True
