policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.4117037037037037,0.36333333333333334,0.04837037037037037,0.04474074074074074,0.05207407407407407,0.0,True
AdaScale-v2,Single-10,0.4117037037037037,0.4117037037037037,0.0,0.0,0.0,1.0,False
AdaScale-v2,Fixed-5,0.4117037037037037,0.22640740740740742,0.1852962962962963,0.1802962962962963,0.19040740740740741,0.0,True
AdaScale-v2,Fixed-7,0.4117037037037037,0.2904814814814815,0.12122222222222222,0.1166287037037037,0.12588888888888888,0.0,True
Full-10(fused),Single-10,0.36333333333333334,0.4117037037037037,-0.04837037037037037,-0.05207407407407407,-0.04474074074074074,0.0,True
Full-10(fused),Fixed-5,0.36333333333333334,0.22640740740740742,0.13692592592592592,0.1325185185185185,0.1412962962962963,0.0,True
Full-10(fused),Fixed-7,0.36333333333333334,0.2904814814814815,0.07285185185185185,0.06937037037037037,0.07633333333333334,0.0,True
Single-10,Fixed-5,0.4117037037037037,0.22640740740740742,0.1852962962962963,0.1802962962962963,0.19040740740740741,0.0,True
Single-10,Fixed-7,0.4117037037037037,0.2904814814814815,0.12122222222222222,0.1166287037037037,0.12588888888888888,0.0,True
Fixed-5,Fixed-7,0.22640740740740742,0.2904814814814815,-0.06407407407407407,-0.06725925925925925,-0.061,0.0,True
