policy_A,policy_B,acc_A,acc_B,delta_acc,ci95_lo,ci95_hi,p_two_sided,avg_scales_A,avg_scales_B,significant_5pct
Full-10,"AdaScale(r4,d0.25,e0.01)",0.42377777777777775,0.4170740740740741,0.006703703703703704,0.005555555555555556,0.00788888888888889,0.0,10.0,8.63862962962963,True
Full-10,Fixed-5,0.42377777777777775,0.3291851851851852,0.09459259259259259,0.09014814814814814,0.09911111111111111,0.0,10.0,5.0,True
Full-10,Fixed-7,0.42377777777777775,0.3785925925925926,0.04518518518518518,0.04188888888888889,0.04848148148148148,0.0,10.0,7.0,True
Full-10,Fixed-9,0.42377777777777775,0.4106666666666667,0.013111111111111112,0.011148148148148148,0.015074074074074075,0.0,10.0,9.0,True
Full-10,MarginOnly(0.3),0.42377777777777775,0.4130740740740741,0.010703703703703703,0.009148148148148148,0.01225925925925926,0.0,10.0,8.390888888888888,True
"AdaScale(r4,d0.25,e0.01)",Fixed-5,0.4170740740740741,0.3291851851851852,0.08788888888888889,0.08351851851851852,0.09229629629629629,0.0,8.63862962962963,5.0,True
"AdaScale(r4,d0.25,e0.01)",Fixed-7,0.4170740740740741,0.3785925925925926,0.038481481481481485,0.035333333333333335,0.041777777777777775,0.0,8.63862962962963,7.0,True
"AdaScale(r4,d0.25,e0.01)",Fixed-9,0.4170740740740741,0.4106666666666667,0.006407407407407408,0.004333333333333333,0.008518518518518519,0.0,8.63862962962963,9.0,True
"AdaScale(r4,d0.25,e0.01)",MarginOnly(0.3),0.4170740740740741,0.4130740740740741,0.004,0.002777777777777778,0.0052592592592592595,0.0,8.63862962962963,8.390888888888888,True
Fixed-5,Fixed-7,0.3291851851851852,0.3785925925925926,-0.04940740740740741,-0.053037037037037035,-0.045814814814814815,0.0,5.0,7.0,True
Fixed-5,Fixed-9,0.3291851851851852,0.4106666666666667,-0.08148148148148149,-0.08574074074074074,-0.0772962962962963,0.0,5.0,9.0,True
Fixed-5,MarginOnly(0.3),0.3291851851851852,0.4130740740740741,-0.08388888888888889,-0.08829629629629629,-0.07959259259259259,0.0,5.0,8.390888888888888,True
Fixed-7,Fixed-9,0.3785925925925926,0.4106666666666667,-0.032074074074074074,-0.035,-0.02914814814814815,0.0,7.0,9.0,True
Fixed-7,MarginOnly(0.3),0.3785925925925926,0.4130740740740741,-0.03448148148148148,-0.03788888888888889,-0.03122222222222222,0.0,7.0,8.390888888888888,True
Fixed-9,MarginOnly(0.3),0.4106666666666667,0.4130740740740741,-0.0024074074074074076,-0.004703703703703704,-0.00018518518518518518,0.0342,9.0,8.390888888888888,True
