policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.43228721455611185,0.4294785688118207,0.002808645744291122,0.000854805226523385,0.004884601294419343,0.0064,True
AdaScale-v2,Single-10,0.43228721455611185,0.41299303944315546,0.019294175112956405,0.013554768592013678,0.025033581633899134,0.0,True
AdaScale-v2,Fixed-5,0.43228721455611185,0.4192209060935401,0.013066308462571742,0.007449016973989498,0.018683599951153988,0.0,True
AdaScale-v2,Fixed-7,0.43228721455611185,0.43008914397362313,0.0021980705824887043,-0.0021980705824887043,0.006472096715105629,0.3262,False
Full-10(fused),Single-10,0.4294785688118207,0.41299303944315546,0.01648552936866528,0.011234582977164488,0.021736475760166078,0.0,True
Full-10(fused),Fixed-5,0.4294785688118207,0.4192209060935401,0.01025766271828062,0.0042740261326169255,0.016241299303944315,0.0012,True
Full-10(fused),Fixed-7,0.4294785688118207,0.43008914397362313,-0.0006105751618024178,-0.005250946391500794,0.004029796067895958,0.7994,False
Single-10,Fixed-5,0.41299303944315546,0.4192209060935401,-0.006227866650384662,-0.014043228721455612,0.0015874954206862866,0.1168,False
Single-10,Fixed-7,0.41299303944315546,0.43008914397362313,-0.017096104530467702,-0.02393454634265478,-0.010135547685920137,0.0,True
Fixed-5,Fixed-7,0.4192209060935401,0.43008914397362313,-0.010868237880083039,-0.015508609109781414,-0.006227866650384662,0.0,True
