policy_A,policy_B,acc_A,acc_B,delta_acc,ci95_lo,ci95_hi,p_two_sided,avg_scales_A,avg_scales_B,significant_5pct
Full-10,"AdaScale(r4,d0.25,e0.01)",0.651239467578459,0.6483087068018073,0.002930760776651606,0.0010990352912443521,0.00476248626205886,0.0016,10.0,6.588838686042251,True
Full-10,Fixed-5,0.651239467578459,0.6293808767859324,0.02185859079252656,0.015874954206862864,0.027720112345829773,0.0,10.0,5.0,True
Full-10,Fixed-7,0.651239467578459,0.6462327512516791,0.005006716326779827,0.0006105751618024178,0.009402857491757234,0.0258,10.0,7.0,True
Full-10,Fixed-9,0.651239467578459,0.6508731224813774,0.00036634509708145075,-0.0020759555501282207,0.002808645744291122,0.8064,10.0,9.0,False
Full-10,MarginOnly(0.3),0.651239467578459,0.6400048846012945,0.011234582977164488,0.008059592135791917,0.014531688850897546,0.0,10.0,5.416045915252168,True
"AdaScale(r4,d0.25,e0.01)",Fixed-5,0.6483087068018073,0.6293808767859324,0.018927830015874954,0.01331053852729271,0.024545121504457198,0.0,6.588838686042251,5.0,True
"AdaScale(r4,d0.25,e0.01)",Fixed-7,0.6483087068018073,0.6462327512516791,0.0020759555501282207,-0.0020759555501282207,0.006349981682745146,0.347,6.588838686042251,7.0,False
"AdaScale(r4,d0.25,e0.01)",Fixed-9,0.6483087068018073,0.6508731224813774,-0.002564415679570155,-0.005253999267309803,0.00012211503236048357,0.0686,6.588838686042251,9.0,False
"AdaScale(r4,d0.25,e0.01)",MarginOnly(0.3),0.6483087068018073,0.6400048846012945,0.008303822200512883,0.005495176456221761,0.011234582977164488,0.0,6.588838686042251,5.416045915252168,True
Fixed-5,Fixed-7,0.6293808767859324,0.6462327512516791,-0.016851874465746732,-0.021614360727805593,-0.012211503236048358,0.0,5.0,7.0,True
Fixed-5,Fixed-9,0.6293808767859324,0.6508731224813774,-0.021492245695445108,-0.027109537184027355,-0.015874954206862864,0.0,5.0,9.0,True
Fixed-5,MarginOnly(0.3),0.6293808767859324,0.6400048846012945,-0.01062400781536207,-0.016119184271583833,-0.00512883135914031,0.0,5.0,5.416045915252168,True
Fixed-7,Fixed-9,0.6462327512516791,0.6508731224813774,-0.004640371229698376,-0.008425937232873366,-0.000854805226523385,0.0166,7.0,9.0,True
Fixed-7,MarginOnly(0.3),0.6462327512516791,0.6400048846012945,0.006227866650384662,0.00170961045304677,0.01062400781536207,0.009,7.0,5.416045915252168,True
Fixed-9,MarginOnly(0.3),0.6508731224813774,0.6400048846012945,0.010868237880083039,0.007204786909268531,0.014531688850897546,0.0,9.0,5.416045915252168,True
