policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.6483087068018073,0.651239467578459,-0.002930760776651606,-0.00476248626205886,-0.0010990352912443521,0.0016,True
AdaScale-v2,Single-10,0.6483087068018073,0.6304799120771767,0.0178287947246306,0.012455733300769324,0.023323971180852363,0.0,True
AdaScale-v2,Fixed-5,0.6483087068018073,0.6293808767859324,0.018927830015874954,0.01331053852729271,0.024545121504457198,0.0,True
AdaScale-v2,Fixed-7,0.6483087068018073,0.6462327512516791,0.0020759555501282207,-0.0020759555501282207,0.006349981682745146,0.347,False
Full-10(fused),Single-10,0.651239467578459,0.6304799120771767,0.02075955550128221,0.015630724142141898,0.026010501892783002,0.0,True
Full-10(fused),Fixed-5,0.651239467578459,0.6293808767859324,0.02185859079252656,0.015874954206862864,0.027720112345829773,0.0,True
Full-10(fused),Fixed-7,0.651239467578459,0.6462327512516791,0.005006716326779827,0.0006105751618024178,0.009402857491757234,0.0258,True
Single-10,Fixed-5,0.6304799120771767,0.6293808767859324,0.0010990352912443521,-0.006227866650384662,0.008425937232873366,0.7872,False
Single-10,Fixed-7,0.6304799120771767,0.6462327512516791,-0.015752839174502382,-0.022347050921968495,-0.009036512394675785,0.0,True
Fixed-5,Fixed-7,0.6293808767859324,0.6462327512516791,-0.016851874465746732,-0.021614360727805593,-0.012211503236048358,0.0,True
