policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.650506777384296,0.651239467578459,-0.0007326901941629015,-0.0018317254854072536,0.00036634509708145075,0.2562,False
AdaScale-v2,Single-10,0.650506777384296,0.6304799120771767,0.020026865307119307,0.014898033947978995,0.025399926730980585,0.0,True
AdaScale-v2,Fixed-5,0.650506777384296,0.6293808767859324,0.02112590059836366,0.015142264012699963,0.026865307119306386,0.0,True
AdaScale-v2,Fixed-7,0.650506777384296,0.6462327512516791,0.0042740261326169255,-0.00012211503236048357,0.008670167297594334,0.0588,False
Full-10(fused),Single-10,0.651239467578459,0.6304799120771767,0.02075955550128221,0.015630724142141898,0.026010501892783002,0.0,True
Full-10(fused),Fixed-5,0.651239467578459,0.6293808767859324,0.02185859079252656,0.015874954206862864,0.027720112345829773,0.0,True
Full-10(fused),Fixed-7,0.651239467578459,0.6462327512516791,0.005006716326779827,0.0006105751618024178,0.009402857491757234,0.0258,True
Single-10,Fixed-5,0.6304799120771767,0.6293808767859324,0.0010990352912443521,-0.006227866650384662,0.008425937232873366,0.7872,False
Single-10,Fixed-7,0.6304799120771767,0.6462327512516791,-0.015752839174502382,-0.022347050921968495,-0.009036512394675785,0.0,True
Fixed-5,Fixed-7,0.6293808767859324,0.6462327512516791,-0.016851874465746732,-0.021614360727805593,-0.012211503236048358,0.0,True
