policy_A,policy_B,acc_A,acc_B,delta_acc,ci95_lo,ci95_hi,p_two_sided,avg_scales_A,avg_scales_B,significant_5pct
Full-10,"AdaScale(r4,d0.25,e0.01)",0.6092016238159675,0.6094722598105548,-0.00027063599458728013,-0.0035182679296346412,0.002841677943166441,0.9004,10.0,6.814073071718538,False
Full-10,Fixed-5,0.6092016238159675,0.5903924221921516,0.01880920162381597,0.011096075778078484,0.02652232746955345,0.0,10.0,5.0,True
Full-10,Fixed-7,0.6092016238159675,0.6074424898511502,0.0017591339648173206,-0.0037889039242219214,0.007307171853856563,0.5484,10.0,7.0,False
Full-10,Fixed-9,0.6092016238159675,0.6113667117726658,-0.002165087956698241,-0.005142083897158322,0.0008119079837618403,0.1752,10.0,9.0,False
Full-10,MarginOnly(0.3),0.6092016238159675,0.5989174560216509,0.010284167794316644,0.005274018944519624,0.015290933694181327,0.0002,10.0,5.489445196211096,True
"AdaScale(r4,d0.25,e0.01)",Fixed-5,0.6094722598105548,0.5903924221921516,0.019079837618403248,0.012043301759133965,0.026116373477672532,0.0,6.814073071718538,5.0,True
"AdaScale(r4,d0.25,e0.01)",Fixed-7,0.6094722598105548,0.6074424898511502,0.0020297699594046007,-0.0033829499323410014,0.007171853856562923,0.4658,6.814073071718538,7.0,False
"AdaScale(r4,d0.25,e0.01)",Fixed-9,0.6094722598105548,0.6113667117726658,-0.0018944519621109607,-0.005548037889039242,0.0017591339648173206,0.3414,6.814073071718538,9.0,False
"AdaScale(r4,d0.25,e0.01)",MarginOnly(0.3),0.6094722598105548,0.5989174560216509,0.010554803788903925,0.006495263870094722,0.014614343707713126,0.0,6.814073071718538,5.489445196211096,True
Fixed-5,Fixed-7,0.5903924221921516,0.6074424898511502,-0.017050067658998646,-0.02313937753721245,-0.010960757780784845,0.0,5.0,7.0,True
Fixed-5,Fixed-9,0.5903924221921516,0.6113667117726658,-0.02097428958051421,-0.02814614343707713,-0.013667117726657645,0.0,5.0,9.0,True
Fixed-5,MarginOnly(0.3),0.5903924221921516,0.5989174560216509,-0.008525033829499323,-0.015561569688768605,-0.0014884979702300405,0.0192,5.0,5.489445196211096,True
Fixed-7,Fixed-9,0.6074424898511502,0.6113667117726658,-0.003924221921515561,-0.008795669824086604,0.0009472259810554803,0.1148,7.0,9.0,False
Fixed-7,MarginOnly(0.3),0.6074424898511502,0.5989174560216509,0.008525033829499323,0.002435723951285521,0.014479025710419485,0.0066,7.0,5.489445196211096,True
Fixed-9,MarginOnly(0.3),0.6113667117726658,0.5989174560216509,0.012449255751014885,0.0070365358592692825,0.01773004059539914,0.0,9.0,5.489445196211096,True
