policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.6094722598105548,0.6092016238159675,0.00027063599458728013,-0.002841677943166441,0.0035182679296346412,0.9004,False
AdaScale-v2,Single-10,0.6094722598105548,0.5700947225981056,0.03937753721244926,0.031799729364005415,0.04709404600811903,0.0,True
AdaScale-v2,Fixed-5,0.6094722598105548,0.5903924221921516,0.019079837618403248,0.012043301759133965,0.026116373477672532,0.0,True
AdaScale-v2,Fixed-7,0.6094722598105548,0.6074424898511502,0.0020297699594046007,-0.0033829499323410014,0.007171853856562923,0.4658,False
Full-10(fused),Single-10,0.6092016238159675,0.5700947225981056,0.03910690121786198,0.03220568335588633,0.046143437077131255,0.0,True
Full-10(fused),Fixed-5,0.6092016238159675,0.5903924221921516,0.01880920162381597,0.011096075778078484,0.02652232746955345,0.0,True
Full-10(fused),Fixed-7,0.6092016238159675,0.6074424898511502,0.0017591339648173206,-0.0037889039242219214,0.007307171853856563,0.5484,False
Single-10,Fixed-5,0.5700947225981056,0.5903924221921516,-0.02029769959404601,-0.03017591339648173,-0.010284167794316644,0.0,True
Single-10,Fixed-7,0.5700947225981056,0.6074424898511502,-0.03734776725304465,-0.046143437077131255,-0.02855209742895805,0.0,True
Fixed-5,Fixed-7,0.5903924221921516,0.6074424898511502,-0.017050067658998646,-0.02313937753721245,-0.010960757780784845,0.0,True
