policy_A,policy_B,acc_A,acc_B,delta_acc,ci95_lo,ci95_hi,p_two_sided,avg_scales_A,avg_scales_B,significant_5pct
Full-10,"AdaScale(r4,d0.25,e0.01)",0.8244925575101488,0.8263870094722598,-0.0018944519621109607,-0.004600811907983762,0.0006765899864682003,0.1708,10.0,5.66468200270636,False
Full-10,Fixed-5,0.8244925575101488,0.8121786197564276,0.012313937753721246,0.006359945872801083,0.017861975642760486,0.0,10.0,5.0,True
Full-10,Fixed-7,0.8244925575101488,0.8273342354533153,-0.002841677943166441,-0.006901217861975643,0.0012178619756427606,0.1816,10.0,7.0,False
Full-10,Fixed-9,0.8244925575101488,0.8257104194857916,-0.0012178619756427606,-0.0037889039242219214,0.0013531799729364006,0.3796,10.0,9.0,False
Full-10,MarginOnly(0.3),0.8244925575101488,0.8070365358592693,0.017456021650879568,0.012855209742895805,0.02206021650879562,0.0,10.0,3.970230040595399,True
"AdaScale(r4,d0.25,e0.01)",Fixed-5,0.8263870094722598,0.8121786197564276,0.014208389715832206,0.009066305818673884,0.019215155615696887,0.0,5.66468200270636,5.0,True
"AdaScale(r4,d0.25,e0.01)",Fixed-7,0.8263870094722598,0.8273342354533153,-0.0009472259810554803,-0.004600811907983762,0.0027063599458728013,0.6442,5.66468200270636,7.0,False
"AdaScale(r4,d0.25,e0.01)",Fixed-9,0.8263870094722598,0.8257104194857916,0.0006765899864682003,-0.002165087956698241,0.0035182679296346412,0.6848,5.66468200270636,9.0,False
"AdaScale(r4,d0.25,e0.01)",MarginOnly(0.3),0.8263870094722598,0.8070365358592693,0.019350473612990526,0.015426251691474966,0.02341001353179973,0.0,5.66468200270636,3.970230040595399,True
Fixed-5,Fixed-7,0.8121786197564276,0.8273342354533153,-0.015155615696887685,-0.019756427604871448,-0.010686738836265272,0.0,5.0,7.0,True
Fixed-5,Fixed-9,0.8121786197564276,0.8257104194857916,-0.013531799729364006,-0.01880920162381597,-0.007983761840324764,0.0,5.0,9.0,True
Fixed-5,MarginOnly(0.3),0.8121786197564276,0.8070365358592693,0.005142083897158322,0.0,0.010419485791610283,0.0526,5.0,3.970230040595399,False
Fixed-7,Fixed-9,0.8273342354533153,0.8257104194857916,0.0016238159675236806,-0.0017591339648173206,0.005006765899864682,0.3678,7.0,9.0,False
Fixed-7,MarginOnly(0.3),0.8273342354533153,0.8070365358592693,0.02029769959404601,0.015696887686062245,0.02503382949932341,0.0,7.0,3.970230040595399,True
Fixed-9,MarginOnly(0.3),0.8257104194857916,0.8070365358592693,0.018673883626522326,0.014073071718538565,0.02327469553450609,0.0,9.0,3.970230040595399,True
