policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.8263870094722598,0.8244925575101488,0.0018944519621109607,-0.0006765899864682003,0.004600811907983762,0.1708,False
AdaScale-v2,Single-10,0.8263870094722598,0.8009472259810555,0.02543978349120433,0.019756427604871448,0.03125845737483085,0.0,True
AdaScale-v2,Fixed-5,0.8263870094722598,0.8121786197564276,0.014208389715832206,0.009066305818673884,0.019215155615696887,0.0,True
AdaScale-v2,Fixed-7,0.8263870094722598,0.8273342354533153,-0.0009472259810554803,-0.004600811907983762,0.0027063599458728013,0.6442,False
Full-10(fused),Single-10,0.8244925575101488,0.8009472259810555,0.02354533152909337,0.018403247631935047,0.02882273342354533,0.0,True
Full-10(fused),Fixed-5,0.8244925575101488,0.8121786197564276,0.012313937753721246,0.006359945872801083,0.017861975642760486,0.0,True
Full-10(fused),Fixed-7,0.8244925575101488,0.8273342354533153,-0.002841677943166441,-0.006901217861975643,0.0012178619756427606,0.1816,False
Single-10,Fixed-5,0.8009472259810555,0.8121786197564276,-0.011231393775372125,-0.018673883626522326,-0.004194857916102842,0.002,True
Single-10,Fixed-7,0.8009472259810555,0.8273342354533153,-0.02638700947225981,-0.03301759133964818,-0.020027063599458727,0.0,True
Fixed-5,Fixed-7,0.8121786197564276,0.8273342354533153,-0.015155615696887685,-0.019756427604871448,-0.010686738836265272,0.0,True
