policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.8261163734776725,0.8244925575101488,0.0016238159675236806,0.00013531799729364006,0.003247631935047361,0.0462,True
AdaScale-v2,Single-10,0.8261163734776725,0.8009472259810555,0.02516914749661705,0.019756427604871448,0.030717185385656293,0.0,True
AdaScale-v2,Fixed-5,0.8261163734776725,0.8121786197564276,0.013937753721244926,0.008254397834912044,0.019350473612990526,0.0,True
AdaScale-v2,Fixed-7,0.8261163734776725,0.8273342354533153,-0.0012178619756427606,-0.005142083897158322,0.0027063599458728013,0.5702,False
Full-10(fused),Single-10,0.8244925575101488,0.8009472259810555,0.02354533152909337,0.018403247631935047,0.02882273342354533,0.0,True
Full-10(fused),Fixed-5,0.8244925575101488,0.8121786197564276,0.012313937753721246,0.006359945872801083,0.017861975642760486,0.0,True
Full-10(fused),Fixed-7,0.8244925575101488,0.8273342354533153,-0.002841677943166441,-0.006901217861975643,0.0012178619756427606,0.1816,False
Single-10,Fixed-5,0.8009472259810555,0.8121786197564276,-0.011231393775372125,-0.018673883626522326,-0.004194857916102842,0.002,True
Single-10,Fixed-7,0.8009472259810555,0.8273342354533153,-0.02638700947225981,-0.03301759133964818,-0.020027063599458727,0.0,True
Fixed-5,Fixed-7,0.8121786197564276,0.8273342354533153,-0.015155615696887685,-0.019756427604871448,-0.010686738836265272,0.0,True
